filepath,label
neg_0593.jpg,0
pos_0785.jpg,1
pos_0729.jpg,1
pos_0403.jpg,1
pos_0890.jpg,1
pos_0734.jpg,1
pos_0192.jpg,1
neg_0541.jpg,0
pos_0237.jpg,1
neg_0529.jpg,0
pos_0400.jpg,1
pos_0219.jpg,1
neg_0084.jpg,0
neg_0301.jpg,0
neg_0103.jpg,0
neg_0155.jpg,0
pos_0620.jpg,1
neg_0431.jpg,0
neg_0945.jpg,0
neg_0116.jpg,0
pos_0470.jpg,1
pos_0005.jpg,1
neg_0396.jpg,0
pos_0594.jpg,1
pos_0356.jpg,1
neg_0007.jpg,0
pos_0994.jpg,1
pos_0821.jpg,1
neg_0807.jpg,0
neg_0424.jpg,0
neg_0133.jpg,0
pos_0175.jpg,1
neg_0961.jpg,0
neg_0638.jpg,0
pos_0480.jpg,1
neg_0070.jpg,0
neg_0436.jpg,0
neg_0107.jpg,0
neg_0250.jpg,0
neg_0873.jpg,0
neg_0927.jpg,0
neg_0306.jpg,0
neg_0056.jpg,0
neg_0075.jpg,0
neg_0672.jpg,0
neg_0072.jpg,0
pos_0875.jpg,1
pos_0880.jpg,1
pos_0043.jpg,1
pos_0837.jpg,1
neg_0667.jpg,0
pos_0999.jpg,1
pos_0128.jpg,1
neg_0346.jpg,0
neg_0526.jpg,0
neg_0688.jpg,0
pos_0381.jpg,1
neg_0225.jpg,0
neg_0879.jpg,0
neg_0310.jpg,0
neg_0713.jpg,0
neg_0615.jpg,0
neg_0411.jpg,0
pos_0082.jpg,1
pos_0846.jpg,1
pos_0817.jpg,1
pos_0023.jpg,1
pos_0936.jpg,1
pos_0026.jpg,1
pos_0705.jpg,1
pos_0149.jpg,1
pos_0108.jpg,1
neg_0494.jpg,0
neg_0658.jpg,0
neg_0352.jpg,0
neg_0964.jpg,0
pos_0854.jpg,1
pos_0425.jpg,1
pos_0680.jpg,1
pos_0812.jpg,1
neg_0626.jpg,0
neg_0828.jpg,0
neg_0703.jpg,0
neg_0536.jpg,0
neg_0354.jpg,0
pos_0368.jpg,1
pos_0723.jpg,1
neg_0621.jpg,0
pos_0675.jpg,1
pos_0678.jpg,1
neg_0601.jpg,0
neg_0960.jpg,0
neg_0255.jpg,0
neg_0302.jpg,0
neg_0361.jpg,0
pos_0949.jpg,1
pos_0918.jpg,1
pos_0859.jpg,1
pos_0102.jpg,1
pos_0453.jpg,1
neg_0113.jpg,0
pos_0767.jpg,1
pos_0340.jpg,1
neg_0872.jpg,0
pos_0950.jpg,1
neg_0261.jpg,0
neg_0148.jpg,0
pos_0277.jpg,1
pos_0606.jpg,1
pos_0935.jpg,1
neg_0883.jpg,0
pos_0413.jpg,1
pos_0924.jpg,1
pos_0204.jpg,1
neg_0333.jpg,0
pos_0611.jpg,1
neg_0527.jpg,0
pos_0049.jpg,1
neg_0368.jpg,0
pos_0055.jpg,1
neg_0557.jpg,0
neg_0042.jpg,0
neg_0311.jpg,0
pos_0212.jpg,1
neg_0506.jpg,0
neg_0833.jpg,0
